OK,Absentee-Shawnee Tribe of Indians of Oklahoma
CA,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California"
AZ,Ak-Chin Indian Community
TX,Alabama-Coushatta Tribe of Texas
OK,Alabama-Quassarte Tribal Town
CA,"Alturas Indian Rancheria, California"
OK,Apache Tribe of Oklahoma
WY,"Arapaho Tribe of the Wind River Reservation, Wyoming"
ME,Aroostook Band of Micmacs
MT,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana"
CA,"Augustine Band of Cahuilla Indians, California"
WI,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin"
MI,"Bay Mills Indian Community, Michigan"
CA,"Bear River Band of the Rohnerville Rancheria, California"
CA,Berry Creek Rancheria of Maidu Indians of California
CA,"Big Lagoon Rancheria, California"
CA,Big Pine Paiute Tribe of the Owens Valley
CA,Big Sandy Rancheria of Western Mono Indians of California
CA,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California"
MT,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana
CA,"Blue Lake Rancheria, California"
CA,Bridgeport Indian Colony
CA,Buena Vista Rancheria of Me-Wuk Indians of California
OR,Burns Paiute Tribe
CA,"Cabazon Band of Mission Indians, California"
CA,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California"
OK,Caddo Nation of Oklahoma
CA,Cahuilla Band of Indians
CA,Cahto Tribe of the Laytonville Rancheria
CA,"California Valley Miwok Tribe, California"
CA,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California"
CA,"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)"
SC,Catawba Indian Nation (aka Catawba Tribe of South Carolina)
NY,Cayuga Nation
CA,"Cedarville Rancheria, California"
CA,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California"
CA,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California"
OK,Cherokee Nation
OK,"Cheyenne and Arapaho Tribes, Oklahoma"
SD,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota"
OK,The Chickasaw Nation
CA,Chicken Ranch Rancheria of Me-Wuk Indians of California
MT,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana"
LA,Chitimacha Tribe of Louisiana
OK,The Choctaw Nation of Oklahoma
OK,"Citizen Potawatomi Nation, Oklahoma"
CA,Cloverdale Rancheria of Pomo Indians of California
AZ,Cocopah Tribe of Arizona
