"POLLUTANT_CODE","POLLUTANT_DESC","SRS_ID","POLLUTANT_CATEGORY_CODE","CHEMICAL_FORMULA","CHEMICAL_ABSTRACT_SERVICE_NMBR","USER_FLAG","USER_ID","STATUS_FLAG","EPA_ID","CREATED_BY","CREATED_DATE","UPDATED_BY","UPDATED_DATE","SRS_SYSTEMATIC_NAME"
2739,"NH4","P1CONV","","","00610","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"NH4"
6396,"2,4-DICHLOROPHENOXY PROPIONIC ACID","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"2,4-DICHLOROPHENOXY PROPIONIC ACID"
6397,"2,6-DINITROTOLUENE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"2,6-DINITROTOLUENE"
6398,"2-BUTOXYETHANOL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"2-BUTOXYETHANOL"
6399,"2-METHLY PYNDINE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"2-METHLY PYNDINE"
6400,"Acrylamide","7575","WTR","C3H5NO","79061","",,"A","","ICIS_PHASE_I",24-JUN-05,"SRUBIN",09-JUN-11,"2-Propenamide"
6401,"2-PROPOXYETHANOL","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"2-PROPOXYETHANOL"
6402,"3,3-DICHLOROBENZINE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"3,3-DICHLOROBENZINE"
6403,"4,4'-METHYLENEBIS[2-CHLOROANILINE]","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_9071",26-JUL-13,"4,4'-METHYLENEBIS[2-CHLOROANILINE]"
6404,"4-FLUORO-3-PHENOXYBENZALDEHYDE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"4-FLUORO-3-PHENOXYBENZALDEHYDE"
6405,"ALUMINUM PHOSPHATE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"ALUMINUM PHOSPHATE"
6406,"AROCLOR PESTICIDES","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"ICIS",03-FEB-07,"AROCLOR PESTICIDES"
6407,"BENZO[K]FLUORANTHENE","P1CONV","","","","",,"I","","ICIS_PHASE_I",24-JUN-05,"SCR_9071",26-JUL-13,"BENZO[K]FLUORANTHENE"
