6400,Acrylamide,7575,2-Propenamide
6415,Dithiocarbamates,17135674,Dithiocarbamates
6432,Sewage/sewage sludge,17136292,Sewage/sewage sludge
6439,Uranium-238,150185,Uranium
375,Ammonia,152389,Ammonia
428,Anthracene,31013,Anthracene
448,Aroclor 1016,182782,Aroclor 1016
457,Aroclor 1260,173021,Aroclor 1260
467,Arsenic,149989,Arsenic
2200,Inorganics,17001736,Inorganics
2212,Iridium,149542,Iridium
2218,Iron oxide,85308,Iron oxide
2220,Total water irrigated,17132465,Irrigation water
2423,Manganese,149625,Manganese
2428,"Manure remaining, gallons",1648484,Manure
6382,Freon compounds,17135682,Freon compounds
6390,"1,4-Dioxane",33241,"1,4-Dioxane"
2469,"Metals, water",17001751,Metals
1917,Giardia lamblia,761726,Giardia lamblia
2208,Iodine,151456,Iodine
2215,Iron,149559,Iron
2040,Heptane,38984,Heptane
2041,"Herbicides, total",966572,Herbicides
2049,Hexane,26740,Hexane
2072,Hydrazine,41541,Hydrazine
2074,Hydrobromic acid,166967,Hydrobromic acid
2091,Hydrogen,85555,Hydrogen
2760,Niobium,149682,Niobium
2806,"Nitrite nitrogen, dissolved [as N]",197194,Nitrite
2111,Hydroxide,776500,Hydroxide
1765,Fecal,17136243,Fecal matter
3159,Pathogenic organisms,17028200,Pathogens
3215,Perchlorate [ClO4],962480,Perchlorate
2817,Nitrogen,153122,Nitrogen
2448,Mercury,149633,Mercury
2741,Nickel,149674,Nickel
2787,Nitric acid,152686,Nitric acid
3216,PERCHLORETHYLENE,P1CONV,PERCHLORETHYLENE
3041,Overflows,P1CONV,OVERFLOWS
3049,Ethylene oxide,5405,Oxirane
3051,Oxygen,154302,Oxygen
3054,Ozone,166678,Ozone
628,Benzoic acid,4044,Benzoic acid
630,Benzopyrene,713800,Benzopyrene
246,Acenaphthylene,40717,Acenaphthylene
250,Acetaldehyde,5280,Acetaldehyde
255,Acetic acid,3848,Acetic acid
278,Acetonitrile,5272,Acetonitrile
301,Acidity,1640572,Acidity
3932,Sulfur trioxide,150375,Sulfur trioxide
4073,Thermal Discharge,1645563,Thermal discharge
3541,Pyridine,27037,Pyridine
3674,Semi-volatile organic compounds,17135955,Semi-volatile organic compounds
3714,Silver,149849,Silver
310,Acrylic polymer,5242730,Acrylic polymer
314,Actisalt #6,17135443,Actisalt #6
360,Aluminum,149476,Aluminum
6101,Sulfate,197301,Sulfate
6106,Sulfide,212290,Sulfide
6108,Sulfides,17136052,Sulfides
6128,"Temperature, water deg. centigrade",1640499,Temperature
6151,Tin,149922,Tin
5166,Daphnia pulex,1922509,DAPHNIA PULEX
5201,Dibenzofuran,35709,Dibenzofuran
4871,Antimony,149963,Antimony
4873,Antimony compounds,649921,Antimony compounds
4878,Aroclor 1221,173153,Aroclor 1221
4879,Aroclor 1242,298950,Aroclor 1242
4880,Aroclor 1254,173047,Aroclor 1254
4881,Aroclor 1262,274183,Aroclor 1262
603,Benzene,4754,Benzene
1822,Fluoride,206706,Fluoride
558,Bacteria,52451846,Bacteria
571,Bardac,17135500,Bardac
572,Barium,149997,Barium
579,Barium compound,761403,Barium compounds
451,Aroclor 1232,173583,Aroclor 1232
4677,Whole effluent toxicity,1647379,Whole effluent toxicity
365,Aluminum oxide,86132,Alumina
6622,Automotive runoff,17135492,Automotive runoff
6623,Furniture stripping solvents,17135690,Furniture stripping solvents
6624,Wastewater,17136185,Wastewater
6625,Untreated drinking water,17136102,Untreated drinking water
6626,Leachate,17005596,Leachate
6638,Turbidity,1640507,Turbidity
817,Carbon disulfide,5348,Carbon disulfide
447,Aroclor [unspecified],183020,Aroclor
500,Asbestos,85282,Asbestos
5286,Ethanol,3822,Ethanol
1,Number,,Number
6,"Diesel oil, no. 2",439216,"Fuels, diesel, no. 2"
8,"Fuel oil, no. 4",439182,"Fuel oil, no. 4"
454,Aroclor 1248,182766,Aroclor 1248
460,Aroclor 1268,173120,AROCLOR 1268
137,"1,3-Butadiene",24042,"1,3-Butadiene"
5492,Isobutane,5470,"Propane, 2-methyl-"
5498,K001,740837,Sludge from the treatment of wastewaters from wood preserving processes as defined
4647,Freshwater in drilling fluids,153171,Water
4818,Alfol,17135419,Alfol
5350,Flow,,Flow
5357,Fly ash,17136573,FLY ASH
6561,Copper concentrate,17135617,Copper concentrate
6562,Lead,149583,Lead
6580,Fill material,17136250,Fill material
6581,Solvents,17135989,Solvents
6583,Gasoline,599746,Gasoline
6594,Brine,17135518,Brine
6596,Salt water,17135930,Salt water
6598,Earthen fill material,17136227,Earthen fill material
6599,Flow rate,1643246,Flow rate
6613,Sediment,17136284,Sediment
6614,Hazardous waste,17135708,Hazardous waste
6618,Sanitary sewage,17136276,Sanitary sewage
6619,Zinc compounds,649699,Zinc compounds
4915,Beryllium,150003,Beryllium
4800,Methyl ethyl ketone,7443,2-Butanone
4819,"Algae, presence",764357,Algae
4820,Algae-Tron,17135468,Algae-Tron
5474,Hydrochloric acid,152231,Hydrochloric acid
5478,Hydrofluoric acid,152371,Hydrofluoric acid
6037,Semi-volatile inorganic compounds,17135948,Semi-volatile inorganic compounds
1165,Copper,150086,Copper
5567,Lead oxide,85712,Lead oxide
1363,Detergents,,DETERGENTS
1444,Diethylene Glycol,27557,DIETHYLENE GLYCOL
1476,Diphosphoric acid,17135310,Diphosphoric acid
1485,Discharge,,Discharge
1675,Explosive wastes,17136235,Explosive wastes
1742,Faty acid chemicals,357897,Fatty acids
5123,Cyanide,2444,Cyanide
6758,Formic acid,3830,Formic acid
6761,Aircraft stripping waste,17135450,Aircraft stripping waste
5033,Chloride,205955,Chloride
6639,Microbiology,17136375,Microbiology
6656,Carbon,150037,Carbon
6658,Molybdenum,149641,Molybdenum
6662,"Pesticides, general",966580,Pesticides
6677,Spilled catalyst,17136029,Spilled catalyst
6696,VHAP,17136144,VHAP
6698,Caustic salts,17135526,Caustic salts
6699,Magnesium,149617,Magnesium
6700,Storm water,17136037,Storm water
6716,Heavy metals,17135716,Heavy metals
6718,Various lab chemicals,17136342,Various lab chemicals
6725,Contaminated soil,17135583,Contaminated soil
6726,Registered use pesticide,17135914,Registered use pesticide
6727,Unregistered pesticide,17136094,Unregistered pesticide
6756,Cyclohexane,27003,Cyclohexane
5713,Nitrate,197186,Nitrate
1034,Chromium[VI] trioxide,85571,Chromium oxide [CrO3]
6215,Triclosan,115139,"Phenol, 5-chloro-2-[2,4-dichlorophenoxy]-"
1916,Giardia,761718,GIARDIA
1939,Glycol mix applied,17132135,Glycols
1942,Gold,150144,Gold
1956,Grease,402768,Grease
1976,"Halogens, tot organics bottom sediment",966242,Halogenated organics
6352,Zinc,150235,Zinc
6372,Zirconium,150243,Zirconium
1315,Cyclohexanone [waste solvents],17135666,Cyclohexanone [waste solvents]
905,Chemical oxygen demand [COD],1641638,Chemical Oxygen Demand
928,Chlorine,154328,Chlorine
1012,Chromium,150060,Chromium
3494,Propane,5207,Propane
1274,Cryptosporidium,761684,Cryptosporidium
5878,Phosphate,194464,Phosphate
5883,Phosphoric acid,152363,Phosphoric acid
5889,Phosphorus,153049,Phosphorus
5617,Methanol,4283,Methanol
7879,Organic chemicals in drinking water,17135773,Organic chemicals in drinking water
7880,Inorganic chemicals in drinking water,17135732,Inorganic chemicals in drinking water
7899,Unleaded fuel,17136326,Unleaded fuel
7938,Vehicle fluids,17136136,Vehicle fluids
7999,Motor oil,777383,Motor oil
8039,Copper compounds,761429,Copper compounds
