-999,UNKNOWN TRIBE,A
A001,AK-CHIN COMMUNITY COUNCIL (MARICOPA RESERVATION),A
A002,AUBURN,A
A003,BAD RIVER BAND OF LAKE SUPERIOR CHIPPEWA,A
A004,BEAR RIVER,A
A005,BECLABITO RESERVATION (SHIPROCK AGENCY),A
A006,BENTON/UTUUTU GWAITU,A
A007,BISHOP PAIUTE TRIBE,A
A008,BLUE GAP RESERVATION (CHINLE AGENCY),A
A009,WIYOT,A
A010,CA VALLEY MIWOK (SHEEP RANCH),A
A012,CAMP VERDE (TRUXTON CANNON AGENCY),A
A013,CAMPO BAND OF KAMEYAAY INDIANS,A
A014,CHICO RANCHERIA,A
A015,CHINLE RESERVATION (CHINLE AGENCY),A
A016,CHIPPEWA CREE TRIBE,A
A017,CHIPPEWA-OTTAWA RESOURCE AUTHORITY,A
A019,CONFEDERATED SALISH & KOOTENAI TRIBES,A
A020,CONFEDERATED TRIBES OF CHEHALIS,A
A021,CONFEDERATED TRIBES OF COLVILLE,A
A022,CONFEDERATED TRIBES OF GRAND RONDE,A
A023,CONFEDERATED TRIBES OF UMATILLA,A
A024,CONFEDERATED TRIBES OF WARM SPRINGS,A
A025,CORNFIELDS RESERVATION (FORT DEFIANCE AGENCY),A
A026,COYOTE CANYON RESERVATION (FORT DEFIANCE AGENCY),A
A028,CRYSTAL RESERVATION (FORT DEFIANCE AGENCY),A
A030,EASTERN SHOSHONE TRIBE,A
A033,FOREST LAKE RESERVATION (CHINLE AGENCY),A
A035,FORT DEFIANCE RESERVATION (FORT DEFIANCE AGENCY),A
A036,GANADO RESERVATION (FORT DEFIANCE AGENCY),A
A038,GRATON,A
A039,GREASEWOOD RESERVATION (FORT DEFIANCE AGENCY),A
A040,GROS VENTRE & ASSINIBOINE TRIBES,A
A041,HOUCK RESERVATION (FORT DEFIANCE AGENCY),A
A043,INTER-TRIBAL COUNCIL OF MICHIGAN,A
A044,ITCA,A
A045,ITCC,A
A046,ITCN,A
A047,JEDDITO RESERVATION (FORT DEFIANCE AGENCY),A
A049,KEWEENAW BAY INDIAN COMMUNITY,A
A050,KINLICHEE RESERVATION (FORT DEFIANCE AGENCY),A
A051,KLAGETOH RESERVATION (FORT DEFIANCE AGENCY),A
A053,LAS VEGAS PAIUTE TRIBE,A
A055,LOW MOUNTAIN RESERVATION (FORT DEFIANCE AGENCY),A
A056,LOWER LAKE,A
A057,LUKACHUKAI RESERVATION (CHINLINE AGENCY),A
A058,LUPTON RESERVATION (FORT DEFIANCE AGENCY),A
A059,MANY FARMS RESERVATION (CHINLINE AGENCY),A
A060,MEXICAN SPRINGS RESERVATION (FORT DEFIANCE AGENCY),A
A061,MEXICAN WATERS RESERVATION (SHIPROCK AGENCY),A
A062,NAEPC,A
A063,NAZLINI RESERVATION (CHINLINE AGENCY),A
A064,NORTHERN ARAPAHO TRIBE,A
A065,NOTTAWASEPPI HURON POTAWATOMI,A
A066,OAK SPRINGS RESERVATION (FORT DEFIANCE AGENCY),A
A067,OVIWC,A
A068,PINON RESERVATION (CHINLE AGENCY),A
A069,PIT RIVER,A
A070,QUECHAN TRIBE,A
A072,RED LAKE RESERVATION (FORT DEFIANCE AGENCY),A
A073,RED MESA RESERVATION (SHIPROCK AGENCY),A
A074,RED ROCK RESERVATION (SHIPROCK AGENCY),A
A075,ROUGH ROCK RESERVATION (CHINLE AGENCY),A
A076,ROUND ROCK RESERVATION (CHINLINE AGENCY),A
A077,SAGINAW CHIPPEWA INDIAN TRIBE,A
A079,SANOTSEE RESERVATION (SHIPROCK AGENCY),A
A080,SAWMILL RESERVATION (FORT DEFIANCE AGENCY),A
A081,SENECA NATION,A
A083,SHOSHONE-PAIUTE TRIBES,A
A084,SOKAOGON CHIPPEWA COMMUNITY,A
A085,ST. MICHAELS RESERVATION (FORT DEFIANCE AGENCY),A
A086,STEAMBOAT RESERVATION (FORT DEFIANCE AGENCY),A
A087,SUQUAMISH INDIAN TRIBE,A
A088,TEECNOSPOS RESERVATION (SHIPROCK AGENCY),A
A089,TEESTO RESERVATION (FORT DEFIANCE AGENCY),A
A090,TSALIE-WHEATFIELDS RESERVATION (CHINLE AGENCY),A
A091,TSELANI RESERVATION (CHINLINE AGENCY),A
A093,TWIN LAKES RESERVATION (FORT DEFIANCE AGENCY),A
A094,WHITE CONE RESERVATION (FORT DEFIANCE AGENCY),A
A096,WIDE RUINS RESERVATION (FORT DEFIANCE AGENCY),A
A097,YAVAPAI-PRESCOTT RESERVATION (YAVAPAI-PRESCOTT BOARD OF DIRECTORS),A
R101,COLVILLE RESERVATION,A
R102,SPOKANE RESERVATION,A
R103,KALISPEL RESERVATION,A
R105,CHEHALIS RESERVATION,A
R106,HOH RESERVATION,A
R107,LUMMI RESERVATION,A
R108,MAKAH RESERVATION,A
R109,MUCKLESHOOT RESERVATION,A
R110,NISQUALLY RESERVATION,A
R111,NOOKSACK RESERVATION,A
R113,PORT GAMBLE RESERVATION,A
R115,PUYALLUP RESERVATION,A
R116,QUILEUTE RESERVATION,A
R117,QUINAULT RESERVATION,A
R118,SHOALWATER RESERVATION,A
R120,SKOKOMISH RESERVATION,A
R121,SQUAXIN ISLAND RESERVATION,A
R122,SWINOMISH RESERVATION,A
R123,TULALIP RESERVATION,A
R124,YAKAMA RESERVATION,A
R125,LOWER ELWHA RESERVATION,A
R126,SAUK-SUIATTLE RESERVATION,A
R129,JAMESTOWN RESERVATION,A
R131,UPPER SKAGIT RESERVATION,A
R133,"SAMISH INDIAN TRIBE, WASHINGTON",A
R134,PORT MADISON RESERVATION,A
R138,SNOQUALMIE TRIBE,A
R139,STILLAGUAMISH RESERVATION,A
R140,KLAMATH RESERVATION,A
R141,GRAND RONDE RESERVATION,A
R142,SILETZ RESERVATION,A
R143,UMATILLA RESERVATION,A
R144,BURNS PAIUTE RESERVATION,A
R145,WARM SPRINGS RESERVATION,A
R147,THE DALLES UNIT,A
R148,CELILO VILLAGE,A
R152,"COOS, LOWER UMPQUA, AND SIUSLAW RESERVATION",A
R153,COW CREEK RESERVATION,A
R154,YAKAMA TRUST LAND,A
R155,COQUILLE TRIBE OF OREGON,A
R180,FORT HALL RESERVATION,A
R181,COEUR D'ALENE RESERVATION,A
R182,NEZ PERCE RESERVATION,A
R183,KOOTENAI RESERVATION,A
R195,NORTHWESTERN SHOSHONI RESERVATION,A
R199,ANNETTE ISLAND RESERVE,A
R201,BLACKFEET RESERVATION,A
R202,CROW RESERVATION,A
R203,FLATHEAD RESERVATION,A
R204,FORT BELKNAP RESERVATION,A
R205,ROCKY BOY'S RESERVATION,A
R206,FORT PECK RESERVATION,A
R207,NORTHERN CHEYENNE RESERVATION,A
R208,CROW CEDED LANDS,A
R224,PUBLIC DOMAIN ALLOTMENTS IN MONTANA,A
R226,PUBLIC DOMAIN ALLOTMENTS IN MONTANA,A
R227,PUBLIC DOMAIN ALLOTMENTS IN MONTANA,A
R256,PUBLIC DOMAIN ALLOTMENTS IN NORTH DAKOTA,A
R280,WIND RIVER RESERVATION,A
R281,WIND RIVER RESERVATION (ARAPAHOE),A
R282,WIND RIVER RESERVATION (SHOSHONE),A
R301,FORT BERTHOLD RESERVATION,A
R302,STANDING ROCK RESERVATION,A
R303,SPIRIT LAKE SIOUX RESERVATION,A
R304,TURTLE MOUNTAIN PUBLIC DOMAIN TRACTS (MONTANA),A
R324,TURTLE MOUNTAIN BAND OF CHIPPEWAS,A
R340,CHEYENNE RIVER RESERVATION,A
R341,FLANDREAU RESERVATION,A
R342,CROW CREEK RESERVATION,A
R343,LOWER BRULE RESERVATION,A
R344,PINE RIDGE RESERVATION,A
R345,ROSEBUD RESERVATION,A
R346,YANKTON RESERVATION,A
R347,LAKE TRAVERSE (SISSETON) RESERVATION,A
R360,CHEYENNE RIVER PDA,A
R380,OMAHA RESERVATION,A
R381,PONCA TRIBE OF NEBRASKA,A
R382,SANTEE RESERVATION,A
R383,WINNEBAGO RESERVATION,A
R402,LOWER SIOUX RESERVATION,A
R403,PRAIRIE ISLAND COMMUNITY,A
R404,BOIS FORTE (NETT LAKE) RESERVATION,A
R405,FOND DU LAC RESERVATION,A
R406,GRAND PORTAGE RESERVATION,A
R407,LEECH LAKE RESERVATION,A
R408,WHITE EARTH RESERVATION,A
R409,RED LAKE BAND OF CHIPPEWA,A
R410,MILLE LACS RESERVATION,A
R411,SHAKOPEE COMMUNITY,A
R417,BOIS FORTE (VERMILLION LAKE) RESERVATION,A
R418,BOIS FORTE (DEER CREEK) RESERVATION,A
R420,MINNESOTA (CHIPPEWA) HOMESTEAD TRUST LANDS,A
R430,BAD RIVER RESERVATION,A
R431,LAC COURTE OREILLES RESERVATION,A
R432,LAC DU FLAMBEAU RESERVATION,A
R433,ONEIDA RESERVATION,A
R434,FOREST COUNTY POTAWATOMI,A
R435,RED CLIFF RESERVATION,A
R436,ST. CROIX RESERVATION,A
R437,MOLE LAKE RESERVATION,A
R438,STOCKBRIDGE-MUNSEE RESERVATION,A
R440,MENOMINEE RESERVATION,A
R441,HO-CHUNK TRUST LAND,A
R468,GRAND TRAVERSE RESERVATION,A
R469,SAULT STE. MARIE RESERVATION,A
R470,BAY MILLS RESERVATION,A
R471,HANNAHVILLE COMMUNITY,A
R472,ISABELLA RESERVATION,A
R475,L'ANSE RESERVATION,A
R476,L'ANSE (ONTONAGON) RESERVATION,A
R478,HURON POTAWATOMI RESERVATION,A
R479,LAC VIEUX DESERT RESERVATION,A
R482,LITTLE RIVER BAND OF OTTAWA INDIANS OF MICHIGAN,A
R483,LITTLE TRAVERSE BAY BANDS RESERVATION,A
R484,MATCH-E-BE-NASH-SHE-WISH BAND OF POTTAWATOMI INDIANS OF MICH,A
R490,SAC AND FOX (IOWA) RESERVATION,A
R502,ALTURAS RANCHERIA,A
R503,SCOTTS VALLEY RANCHERIA,A
R504,BERRY CREEK RANCHERIA,A
R505,GUIDIVILLE RANCHERIA,A
R506,BIG SANDY RANCHERIA,A
R507,BIG VALLEY RANCHERIA,A
R508,BUENA VISTA RANCHERIA OF ME-WUK INDIANS OF CALIFORNIA,A
R509,LYTTON RANCHERIA OF CALIFORNIA,A
R511,COLD SPRINGS RANCHERIA,A
R512,COLUSA RANCHERIA,A
R513,CORTINA INDIAN RANCHERIA,A
R514,CLOVERDALE RANCHERIA OF POMO INDIANS OF CALIFORNIA,A
R515,DRY CREEK RANCHERIA,A
R516,ROBINSON RANCHERIA,A
R517,ENTERPRISE RANCHERIA,A
R518,FORT BIDWELL RESERVATION,A
